Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,Year,Month,Quarter,YearMonth,Adalah_Agregat,Adalah_Provisional
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,19.72,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,1.01,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.06,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.05,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,623.07,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Bioenergy,mtCO2,0.65,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Coal,mtCO2,33.82,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Gas,mtCO2,18.85,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Hydro,mtCO2,0.24,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Nuclear,mtCO2,0.0,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Fossil,mtCO2,0.87,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Renewables,mtCO2,0.12,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Solar,mtCO2,0.03,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Wind,mtCO2,0.02,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Power sector emissions,Total,Total emissions,mtCO2,54.6,,,2019,1,1,2019-01,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity demand,Demand,Demand,TWh,84.71,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,%,21.22,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,%,78.78,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,35.14,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,20.2,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,%,21.22,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,%,1.02,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,TWh,17.99,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,TWh,66.72,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,29.76,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,17.12,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,TWh,17.99,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.87,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,%,3.02,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,%,43.64,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,%,33.91,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,%,13.62,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,%,0.0,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,%,1.23,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,%,3.56,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,%,0.71,,,2019,2,1,2019-02,False,False
